3.0;;;;;;https://static.wikia.nocookie.net/prowrestling/images/1/11/Matt_Martel_Chase_Parker_WWE_Sept_5-19.jpg/revision/latest/scale-to-width-down/350?cb=20190908145406;
Brandi Lauren;5 ft 6 in (1.68 m);125 lb (57 kg);September 26, 1996 (1996-09-26) (age 24);Buffalo, New York;March 5, 2016;https://static.wikia.nocookie.net/prowrestling/images/e/e1/Skyler_Storey_-_EmlSTy1XMAYd-im.jpg/revision/latest/scale-to-width-down/304?cb=20201215193949;
Briana Brandy;5 ft 9 in (1.75 m);;;Canton, Ohio;December 5, 2019;https://static.wikia.nocookie.net/prowrestling/images/9/9b/Briana_Brandy_-_WWEPC_Photo.png/revision/latest/scale-to-width-down/350?cb=20200827231856;
Cal Bloom;6 ft 5 in (1.96 m);255 lbs (116 kg);1994;Osseo, Minnesota;May 3, 2019;https://static.wikia.nocookie.net/prowrestling/images/6/6f/Cal_Bloom_-_D9P-crAXsAI2kZw.jpg/revision/latest/scale-to-width-down/350?cb=20190717170721;
Candice LeRae;5 ft 2 in (1.57 m);112 lbs (51 kg);September 29, 1985 (1985-09-29) (age 35);Riverside, California;2002;https://static.wikia.nocookie.net/prowrestling/images/4/4b/Candice_Heel.png/revision/latest/scale-to-width-down/320?cb=20200521015941;
Curt Stallion;6 ft 1 in (1.85 m);190 lbs (84 kg);July 13, 1990 (1990-07-13) (age 30);Crane, Texas;July 20, 2013;https://static.wikia.nocookie.net/prowrestling/images/2/27/Curt_Stallion_-_Z0xOmTI5CCg.jpg/revision/latest/scale-to-width-down/350?cb=20170128210639;
Dakota Kai;5 ft 6 in (1.68 m);132 lbs (60 kg);May 6, 1988 (1988-05-06) (age 32);Auckland, New Zealand;2007;https://static.wikia.nocookie.net/prowrestling/images/7/74/Dakota_Kai.png/revision/latest/scale-to-width-down/350?cb=20200204045220;
Daniel Vidot;6 ft 2 in (1.88 m);246 lbs (17 st 112 kg);February 8, 1990 (1990-02-08) (age 31);Brisbane, Queensland, Australia;November 29, 2018;https://static.wikia.nocookie.net/prowrestling/images/a/ae/Samoan_Ghost_-_4D70A92000000578-5864217.jpg/revision/latest/scale-to-width-down/350?cb=20190710232925;
Danny Burch;6 ft 0 in (1.83 m);240 lbs (109 kg);December 31, 1981 (1981-12-31) (age 39);London, England;2003;https://static.wikia.nocookie.net/prowrestling/images/e/e5/Danny_Burch_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20171117102331;
Danny Burch & Oney Lorcan;;;;;;https://static.wikia.nocookie.net/prowrestling/images/d/d8/Danny_Burch_%26_Oney_Lorcan2.jpg/revision/latest/scale-to-width-down/350?cb=20181228183541;
Darryl Sharma;6 ft 0 in (1.83 m);210 lbs (95 kg);30 September, 1984 (1984-09-30) (age 36);Toronto, Ontario, Canada;January 2002 (In ring) 2016 (Referee);https://static.wikia.nocookie.net/prowrestling/images/7/76/Darryl_Sharma.png/revision/latest/scale-to-width-down/350?cb=20180522015215;
Denzel Dejournette;6 ft 2 in (1.88 m);260 lbs (118 kg);;Winston Salem, North Carolina;October 27, 2018;https://static.wikia.nocookie.net/prowrestling/images/4/45/Denzel_Dejournette_-_WWE2020.png/revision/latest/scale-to-width-down/328?cb=20200828173438;
Dezmond Xavier;5 ft 9 in (1.75 m);183 lbs (83 kg);November 2, 1988 (1988-11-02) (age 32);Dayton, Ohio;2011;https://static.wikia.nocookie.net/prowrestling/images/6/68/DezmondXavier.jpg/revision/latest/scale-to-width-down/206?cb=20171216042810;
Drake Maverick;5 ft 4 in (1.63 m);140 lbs (64 kg);30 January, 1983 (1983-01-30) (age 38);Birmingham, England;October 2001;https://static.wikia.nocookie.net/prowrestling/images/d/d1/Drake_Maverick_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20180208031617;
Drake Wuertz;5 ft 9 in (1.75 m);210 lbs (95 kg);October 9, 1984 (1984-10-09) (age 36);Indianapolis, Indiana;2001;https://static.wikia.nocookie.net/prowrestling/images/3/37/Drake_Wuertz.png/revision/latest/scale-to-width-down/350?cb=20180522020448;
Eddie Orengo;5 ft 9 in (1.75 m);167 lbs (76 kg);;Newark, New Jersey;March 23, 2003;https://static.wikia.nocookie.net/prowrestling/images/7/77/Eddie_Orengo.png/revision/latest/scale-to-width-down/350?cb=20180522021339;
EJ Nduka;6 ft 6 in (1.98 m);255 lbs (116 kg);August 28, 1988 (1988-08-28) (age 32);Dallas, Texas;February 29, 2020;https://static.wikia.nocookie.net/prowrestling/images/5/5f/EJ_Nduka_-_79425123.jpg/revision/latest/scale-to-width-down/238?cb=20201209220344;
El Hijo del Fantasma;5 ft 11 in (1.80 m);200 lbs (90 kg);April 30, 1984 (1984-04-30) (age 36);Mexico City, Mexico;2000;https://static.wikia.nocookie.net/prowrestling/images/8/85/HijodelFantasmaUnmasked2018.jpg/revision/latest/scale-to-width-down/350?cb=20181004063324;
Elayna Black;5 ft 7 in (1.70 m);;January 14, 2000 (2000-01-14) (age 21);Chicago, Illinois;December 9, 2018;https://static.wikia.nocookie.net/prowrestling/images/e/ed/Elayna_Black_-_117338029.jpg/revision/latest/scale-to-width-down/350?cb=20200830211843;
Eli Drake;6 ft 2 in (1.88 m);230 lbs (104 kg);November 11, 1982 (1982-11-11) (age 38);Hagerstown, Maryland;2002;https://static.wikia.nocookie.net/prowrestling/images/8/8f/Eli_Drake_-_070cfa3fb0aa893292a136aa409dd4a9.jpg/revision/latest/scale-to-width-down/350?cb=20180607102101;
Elliot Sexton;6 ft 5 in (1.96 m);253 lb (115 kg);June 29, 1989 (1989-06-29) (age 31);Adelaide, Australia;May 31 2008;https://static.wikia.nocookie.net/prowrestling/images/b/b0/Brendan_Vink_-_WWE_NXT_stat_photo.png/revision/latest/scale-to-width-down/350?cb=20190711230134;
Ember Moon;5 ft 1 in (1.55 m);120 lbs (54 kg);August 31, 1988 (1988-08-31) (age 32);Garland, Texas;2007;https://static.wikia.nocookie.net/prowrestling/images/b/b1/Ember_Moon.png/revision/latest/scale-to-width-down/350?cb=20210223074623;
Emily Andzulis;5 ft 2 in (1.57 m);126 lbs (57 kg);February 26, 1992 (1992-02-26) (age 28);Knoxville, Tennessee;February 21, 2020;https://static.wikia.nocookie.net/prowrestling/images/8/83/Emily_Andzulis_-_ddr31myce87a48cbe5945519d46079c4c02c563.png/revision/latest/scale-to-width-down/299?cb=20200827205643;
Eric Bugenhagen;6 ft 1 in (1.85 m);233 lbs (106 kg);December 1, 1987 (1987-12-01) (age 33);Franklin, Wisconsin;October 19, 2017;https://static.wikia.nocookie.net/prowrestling/images/0/00/Eric_Bugenhagen_-_D566AjTW0AAkfbi.jpg/revision/latest/scale-to-width-down/350?cb=20190711204440;
Fabian Aichner;6 ft 0 in (1.83 m);220 lb (100 kg);21 July, 1990 (1990-07-21) (age 30);South Tyrol, Italy;12 December 2011;https://static.wikia.nocookie.net/prowrestling/images/1/16/Fabian_Aichner_stat_photo_2.png/revision/latest/scale-to-width-down/219?cb=20181221223932;
Fandango;6 ft 3 in (1.91 m);244 lbs (111 kg);July 22, 1981 (1981-07-22) (age 39);Boston, Massachusetts;September 1999;https://static.wikia.nocookie.net/prowrestling/images/1/16/Fandango_stat--da2879475890c57744782fe83d8ad28e.png/revision/latest/scale-to-width-down/219?cb=20171130173523;
Finn Bálor;5 ft 11 in (1.80 m);180 lbs (82 kg);July 25, 1981 (1981-07-25) (age 39);Bray, Ireland;June 2000;https://static.wikia.nocookie.net/prowrestling/images/e/e5/Finn_Balor_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20180727164031;
Ilja Dragunov;5 ft 9 in (1.75 m);187 lbs (85 kg);;Moscow, Russia;April 21, 2012;https://static.wikia.nocookie.net/prowrestling/images/b/ba/Ilja_Dragunov_stat.png/revision/latest/scale-to-width-down/219?cb=20190820180052;
Indi Hartwell;5 ft 9 in (1.75 m);139 lbs (63 kg);August 17, 1998 (1998-08-17) (age 22);Melbourne, Australia;March 19, 2016;https://static.wikia.nocookie.net/prowrestling/images/0/08/Indi_Hartwell_stat.png/revision/latest/scale-to-width-down/180?cb=20201216041018;
Io Shirai;5 ft 1½ in (1.56 m);121 lbs (55 kg);May 8, 1990 (1990-05-08) (age 30);Kanto, Japan;March 4, 2007;https://static.wikia.nocookie.net/prowrestling/images/1/1f/Io_Shirai_stat2.png/revision/latest/scale-to-width-down/219?cb=20190914072647;
Jake Atlas;;200 lbs (91 kg);October 5, 1994 (1994-10-05) (age 26);El Monte, California;August 6, 2016;https://static.wikia.nocookie.net/prowrestling/images/d/d1/JAKE_ATLAS_PROFILEPHOTO.png/revision/latest/scale-to-width-down/350?cb=20201209214017;
James Drake;5 ft 10 in. (178 cm);180 lbs (82 kg);4 March, 1993 (1993-03-04) (age 27);Blackpool, Lancashire;2009;https://static.wikia.nocookie.net/prowrestling/images/6/65/James_Drake_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20190101094836;
Jeet Rama;6 ft 4 in (1.93 m);235 lbs (107 kg);January 12, 1981 (1981-01-12) (age 40);India;September 26, 2015;https://static.wikia.nocookie.net/prowrestling/images/b/bd/Jeet_Rama.png/revision/latest/scale-to-width-down/350?cb=20180522022007;
Jessamyn Duke;5 ft 11 in (1.80 m);136 lbs (62 kg);June 24, 1986 (1986-06-24) (age 34);Whitesburg, Kentucky;August 25, 2018;https://static.wikia.nocookie.net/prowrestling/images/d/dc/Jessamyn_Duke_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20181221224206;
Jessi Kamea;5 ft 9 in (1.75 m);;October 10, 1988 (1988-10-10) (age 32);Austin, Texas;October 7, 2017;https://static.wikia.nocookie.net/prowrestling/images/0/00/Jessi_Kamea_-_nqOGq1o.jpg/revision/latest/scale-to-width-down/350?cb=20190910182206;
Jessy (Chile);;;February 22, 1996 (1996-02-22) (age 25);Santiago de Chile, Chile;October 25, 2015;https://static.wikia.nocookie.net/prowrestling/images/7/75/Katrina_Cortez_-_ErUfpijW8AIAeNh.jpg/revision/latest/scale-to-width-down/279?cb=20210221153824;
Joe Gacy;6 ft 0 in (183 cm);249 lbs (113 kg);August 8, 1987 (1987-08-08) (age 33);Franklinville, New Jersey;July 29, 2006;https://static.wikia.nocookie.net/prowrestling/images/b/b4/28783042_10155880279417012_4528832156507570176_n.jpg/revision/latest/scale-to-width-down/323?cb=20180405031431;
Johnny Gargano;5 ft 10 in (1.78 m);198 lb (90 kg);August 14, 1987 (1987-08-14) (age 33);Cleveland, Ohio;2005;https://static.wikia.nocookie.net/prowrestling/images/d/d6/Johnny_Gargano_stat_photo_2018.png/revision/latest/scale-to-width-down/219?cb=20180217004030;
Johnny Saint;5' 9" (174 cm);154 lbs (70 kg);June 29, 1942 (1942-06-29) (age 78);Failsworth, Manchester, England;May 18 1958;https://static.wikia.nocookie.net/prowrestling/images/f/fd/Johhny_Saint_stat.png/revision/latest/scale-to-width-down/219?cb=20190623062009;
Jonah Rock;5 ft 11 in (1.80 m);330 lbs (150 kg);August 25, 1988 (1988-08-25) (age 32);Adelaide, South Australia;March 2007;https://static.wikia.nocookie.net/prowrestling/images/f/fb/Bronson_Reed_stat.png/revision/latest/scale-to-width-down/219?cb=20190718021659;
Josh Briggs;6 ft 8 in (2.03 m);268 lbs (122 kg);;Massachusetts;December 14, 2016;https://static.wikia.nocookie.net/prowrestling/images/4/43/Josh_Briggs_-_30653244.jpg/revision/latest/scale-to-width-down/350?cb=20180904032102;
Kacy Catanzaro;5 ft 0 in (1.52 m);95 lbs (43 kg);January 14, 1990 (1990-01-14) (age 31);Glen Ridge, New Jersey;April 19, 2018;https://static.wikia.nocookie.net/prowrestling/images/f/ff/Kacy_Catanzaro_Stat.png/revision/latest/scale-to-width-down/219?cb=20190505073957;
Karen Q;5 ft 2 in (1.57 m);;January 18, 1992 (1992-01-18) (age 29);Queens, New York;September 6, 2014;https://static.wikia.nocookie.net/prowrestling/images/2/22/Karen_Q_-_WWE_NXT_stat_photo.png/revision/latest/scale-to-width-down/350?cb=20190711233841;
Kavita Devi;5 ft 9 in (1.75 m);165 lbs (75 kg);September 20, 1986 (1986-09-20) (age 34);Malvi, Jind District, Haryana, India;June 11, 2016;https://static.wikia.nocookie.net/prowrestling/images/9/9d/Kavita_Devi-0.jpg/revision/latest/scale-to-width-down/350?cb=20181111172005;
Kay Lee Ray;5 ft 8 in (1.73 m);112 lb (8 stones; 51 kg);August 11, 1992 (1992-08-11) (age 28);Paisley, Scotland;30 May 2009;https://static.wikia.nocookie.net/prowrestling/images/6/6b/Kay_Lee_Ray_stat.png/revision/latest/scale-to-width-down/219?cb=20190729033526;
Kevin Kross;6 ft 3 in (1.91 m);264 lbs (120 kg);July 19, 1985 (1985-07-19) (age 35);New York, New York;September 6, 2014;https://static.wikia.nocookie.net/prowrestling/images/0/09/Karrion_Kross_Stat.png/revision/latest/scale-to-width-down/320?cb=20200508023448;
Killian Dain;6 ft 4 in (1.93 m);322 lbs (146 kg);February 20, 1985 (1985-02-20) (age 36);Belfast, Northern Ireland;October 1, 2005;https://static.wikia.nocookie.net/prowrestling/images/f/fb/Killian_Dain_-_NXT_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20190904185515;
Kona Reeves;6 ft 4 in (1.93 m);250 lbs (110 kg);June 5, 1992 (1992-06-05) (age 28);Hawaii;December 14, 2013;https://static.wikia.nocookie.net/prowrestling/images/c/c4/Kona_Reeves.png/revision/latest/scale-to-width-down/350?cb=20180522025104;
KUSHIDA;5 ft 9 in (1.75 m);192 lbs (87kg);May 5, 1983 (1983-05-05) (age 37);?ta, Tokyo, Japan;September 7, 2006;https://static.wikia.nocookie.net/prowrestling/images/6/6b/Kushida_Stat.png/revision/latest/scale-to-width-down/219?cb=20190516081400;
Kyle O'Reilly;5 ft 11 in (1.80 m);200 lbs (91 kg);March 1, 1987 (1987-03-01) (age 33);Delta, British Columbia;October 2005;https://static.wikia.nocookie.net/prowrestling/images/8/87/Kyle_O%27Reilly_stat--538ea4bd83f36c787a3a345d72ee7ac4.png/revision/latest/scale-to-width-down/219?cb=20180208215746;
Lacey Lane;5 ft 2 in (1.57 m);;May 20, 1988 (1988-05-20) (age 32);Winter Park, Florida;August 25, 2016;https://static.wikia.nocookie.net/prowrestling/images/b/b9/Kayden_Carter.png/revision/latest/scale-to-width-down/219?cb=20200409023725;
Laurel Van Ness;5 ft 7 in (1.70 m);125 lbs (57 kg);April 4, 1991 (1991-04-04) (age 29);Victoria, British Columbia;May 31, 2014;https://static.wikia.nocookie.net/prowrestling/images/5/54/ChelseaGreen.png/revision/latest/scale-to-width-down/320?cb=20200409023724;
Leon Ruff;5 ft 7 in (1.70 m);;April 14, 1996 (1996-04-14) (age 24);Pensacola, Florida;June 16, 2017;https://static.wikia.nocookie.net/prowrestling/images/8/87/Leon_Ruff_-_J1cIbb2.jpg/revision/latest/scale-to-width-down/269?cb=20181109160628;
Luke Menzies;6 ft 1 in (1.85 m);260 lbs (118 kg);29 May, 1988 (1988-05-29) (age 32);Liversedge, West Yorkshire, England;March 2016;https://static.wikia.nocookie.net/prowrestling/images/8/8a/Luke_Menzies_-_X5ufbnNn.jpg/revision/latest/scale-to-width-down/350?cb=20180520143647;
Mansoor;6 ft 0 in (1.83 m);175 lbs (79 kg);October 25, 1995 (1995-10-25) (age 25);Riyadh, Saudi Arabia;January 15, 2015;https://static.wikia.nocookie.net/prowrestling/images/5/5a/Mansoor_Stat.png/revision/latest/scale-to-width-down/219?cb=20190617180113;
Marcel Barthel;6 ft 3 in (1.91 m);220 lb (100 kg);July 8, 1990 (1990-07-08) (age 30);Pinneberg, Germany;March 1, 2008;https://static.wikia.nocookie.net/prowrestling/images/9/91/Marcel_Barthel_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20181201052242;
Marina Shafir;5 ft 7 in (1.70 m);145 lbs (66 kg);14 April, 1988 (1988-04-14) (age 32);Soroca, Moldova;26 July 2018;https://static.wikia.nocookie.net/prowrestling/images/8/8a/Marina_Shafir_stat_photo.png/revision/latest/scale-to-width-down/219?cb=20181221224354;
McKenzie Mitchell;5 ft 7 in (1.70);;;;;https://static.wikia.nocookie.net/prowrestling/images/a/a9/McKenzie_stat.png/revision/latest/scale-to-width-down/211?cb=20200915161607;
Mercedes Martinez;5 ft 7 in (1.70 m);147 lbs (67 kg);November 17, 1980 (1980-11-17) (age 40);Waterbury, Connecticut;November 12, 2000;https://static.wikia.nocookie.net/prowrestling/images/b/b2/Mercedes_Martinez_Stat.png/revision/latest/scale-to-width-down/219?cb=20200413025236;
Norman Smiley;6 ft 2 in (1.88 m);247 lbs (112 kg);February 28, 1965 (1965-02-28) (age 55);Northampton, England;1985;https://static.wikia.nocookie.net/prowrestling/images/8/81/Norman_Smiley.png/revision/latest/scale-to-width-down/350?cb=20180522031327;
NXT UK/Roster;;;;;;;
Oliver Carter;5' 11" (180 cm);198 lbs (90 kg);;;2012;https://static.wikia.nocookie.net/prowrestling/images/c/cb/Oliver_Carter.jpg/revision/latest/scale-to-width-down/200?cb=20170718110538;
Omari Palmer;6 ft 3 in (1.91 m);305 lbs (138 kg);May 17, 1994 (1994-05-17) (age 26);Coram, New York;November 7, 2019;https://static.wikia.nocookie.net/prowrestling/images/7/73/Omari_Palmer_-_01502112019sm0455.jpg/revision/latest/scale-to-width-down/350?cb=20190324225911;
Oney Lorcan;6 ft 0 in (1.83 m);200 lbs (91 kg);December 21, 1985 (1985-12-21) (age 35);Boston, Massachusetts;July 19, 2008;https://static.wikia.nocookie.net/prowrestling/images/7/75/Oney_Lorcan.png/revision/latest/scale-to-width-down/350?cb=20180522024312;
Pat McAfee;6 ft 1 in (1.85 m);233 lb (106 kg);May 2, 1987 (1987-05-02) (age 33);Plum, Pennsylvania;;https://static.wikia.nocookie.net/prowrestling/images/3/3a/Pat_McAfee.jpg/revision/latest/scale-to-width-down/238?cb=20191102171616;
Pete Dunne;5 ft 10 in (1.78 m);205 lbs (93 kg);November 9, 1993 (1993-11-09) (age 27);Birmingham, England;2005;https://static.wikia.nocookie.net/prowrestling/images/a/a9/Pete_Dunne_stat.png/revision/latest/scale-to-width-down/219?cb=20171013123414;
Priscilla Kelly;5 ft 5 in (1.65 m);114 lbs (52 kg);June 5, 1997 (1997-06-05) (age 23);Douglasville, Georgia;March 13, 2015;https://static.wikia.nocookie.net/prowrestling/images/1/1d/Priscilla_Kelly-0.jpg/revision/latest/scale-to-width-down/350?cb=20181020220630;
Raquel González;6 ft 0 in (1.83 m);176 lbs (80 kg);January 12, 1991 (1991-01-12) (age 30);La Feria, Texas;September 2014;https://static.wikia.nocookie.net/prowrestling/images/1/1c/Raquel_Gonz%C3%A1lez.png/revision/latest/scale-to-width-down/219?cb=20200216033754;
Raul Mendoza;5 ft 5 in (1.65 m);190 lbs (86 kg);September 16, 1991 (1991-09-16) (age 29);Cordoba, Veracruz, Mexiko;September 16, 2006;https://static.wikia.nocookie.net/prowrestling/images/0/0b/Raul_Mendoza_Stat2.png/revision/latest/scale-to-width-down/320?cb=20200710162404;
Rinku Singh;6 ft 3 in (1.91 m);256 lbs (116 kg);August 8, 1988 (1988-08-08) (age 32);Gopiganj Bhadohi Lucknow, India;May 31, 2018;https://static.wikia.nocookie.net/prowrestling/images/0/0e/Rinku.png/revision/latest/scale-to-width-down/320?cb=20200409023725;
Rob Strauss;5 ft 11 in (1.80 m);201 lbs (91 kg);October 1, 1983 (1983-10-01) (age 37);Alpine, New Jersey;2000;https://static.wikia.nocookie.net/prowrestling/images/a/ab/Robert_Stone.png/revision/latest/scale-to-width-down/167?cb=20200413025236;
Robbie Brookside;6 ft 3 in (1.90 m);241 lbs (109 kg);March 11, 1966 (1966-03-11) (age 54);Liverpool, England;1984;https://static.wikia.nocookie.net/prowrestling/images/0/04/Robbie_brookside.jpg/revision/latest/scale-to-width-down/330?cb=20110428161412;
Roderick Strong;5 ft 10 in (1.78 m);200 lb (91 kg);July 26, 1983 (1983-07-26) (age 37);Tampa, Florida;2000;https://static.wikia.nocookie.net/prowrestling/images/b/b5/Roderick_Strong_stat_photo_UE.png/revision/latest/scale-to-width-down/219?cb=20190602071709;
Ryan Taylor;6 ft 0 in (1.83 m);185 lbs (84 kg);January 26, 1987 (1987-01-26) (age 34);Phelan, California;March 27, 2004;https://static.wikia.nocookie.net/prowrestling/images/1/13/Tyler_Rust_-_EopeuNRXYAElFdT.jpg/revision/latest/scale-to-width-down/350?cb=20201213041017;
Sam Shaw;6 ft 2 in (1.88 m);239 lbs (109 kg);January 17, 1984 (1984-01-17) (age 37);Jacksonville, Florida;September 21, 2007;https://static.wikia.nocookie.net/prowrestling/images/7/75/Dexter_lumis_stat.png/revision/latest/scale-to-width-down/219?cb=20190718021700;
Santana Garrett;5 ft 5 in (1.65 m);120 lbs (54 kg);May 22, 1988 (1988-05-22) (age 32);Ocala, Florida;August 15, 2009;https://static.wikia.nocookie.net/prowrestling/images/5/53/Brittany_TNA_Shoot_1.jpg/revision/latest/scale-to-width-down/333?cb=20140326204349;
Sara Del Rey;5 ft 9 in (1.75 m);150 lbs (68 kg);November 13, 1980 (1980-11-13) (age 40);Martinez, California;2001;https://static.wikia.nocookie.net/prowrestling/images/8/88/Sara_Del_Rey_1.png/revision/latest/scale-to-width-down/350?cb=20180522034821;
Saurav Gurjar;6 ft 5 in (1.95 m);297 lbs (135 kg);June 5, 1984 (1984-06-05) (age 36);Dabra, Gwalior, India;2011;https://static.wikia.nocookie.net/prowrestling/images/9/91/Suarav.png/revision/latest/scale-to-width-down/320?cb=20200409023726;
Scarlett Bordeaux;5 ft 7 in (1.70 m);125 lbs (57 kg);May 13, 1991 (1991-05-13) (age 29);Chicago, Illinois;2011;https://static.wikia.nocookie.net/prowrestling/images/a/ab/Scarlett.png/revision/latest/scale-to-width-down/320?cb=20200508023449;
Scott Parker;5 ft 11 in (1.80 m);194 lbs (88 kg);March 20, 1984 (1984-03-20) (age 36);Niagara Falls, Ontario, Canada;2002;https://static.wikia.nocookie.net/prowrestling/images/f/ff/Scott_Parker_1.jpg/revision/latest/scale-to-width-down/252?cb=20131117044335;
Shane Matthews;5 ft 10 in (1.78 m);190 lbs (86 kg);December 7, 1983 (1983-12-07) (age 37);Niagara Falls, Ontario, Canada;2002;https://static.wikia.nocookie.net/prowrestling/images/4/43/Shane_Matthews.jpg/revision/latest/scale-to-width-down/350?cb=20190911064044;
Shane Strickland;6 ft 1 in (1.85 m);201 lbs (91 kg);September 30, 1990 (1990-09-30) (age 30);Tacoma, Washington;March 2009;https://static.wikia.nocookie.net/prowrestling/images/4/4c/Isaiah_Swerve_Scott_stat.png/revision/latest/scale-to-width-down/219?cb=20190704024324;
Shoichi Funaki;5 ft 7 in (1.70 m);190 lbs (86 kg);August 24, 1968 (1968-08-24) (age 52);Tokyo, Japan;1990;https://static.wikia.nocookie.net/prowrestling/images/b/b2/Kung_Fu_Naki2_cuted_by_Crank.png/revision/latest/scale-to-width-down/350?cb=20141109190712;
Shotzi Blackheart;5 ft 6 in (1.68 m);125 lbs (57 kg);March 13, 1991 (1991-03-13) (age 29);California;May 30, 2015;https://static.wikia.nocookie.net/prowrestling/images/6/66/Shotzi.png/revision/latest/scale-to-width-down/320?cb=20200409023726;
Sid Scala;;;;Peckham, England;2013;https://static.wikia.nocookie.net/prowrestling/images/7/79/Sid_scala_stat.png/revision/latest/scale-to-width-down/219?cb=20190623061712;
Steve Corino;6 ft 1 in (1.85 m);242 lbs (110 kg);May 29, 1973 (1973-05-29) (age 47);Winnipeg, Canada;1994;https://static.wikia.nocookie.net/prowrestling/images/d/de/Steve_Corino.png/revision/latest/scale-to-width-down/350?cb=20180522123156;
Stokely Hathaway;5 ft 8 in (1.73 m);174 lbs (79 kg);;New York;April 18, 2014;https://static.wikia.nocookie.net/prowrestling/images/6/6b/Malcolm_Bivens_stat.png/revision/latest/scale-to-width-down/219?cb=20200413025235;
Tegan Nox;5 ft 6 in (1.68 m);141 lbs (64 kg);November 15, 1994 (1994-11-15) (age 26);Bargoed, Wales;2013;https://static.wikia.nocookie.net/prowrestling/images/f/f0/TeganNox_stat.png/revision/latest/scale-to-width-down/219?cb=20191031030403;
Terry Taylor;6 ft 1 in (1.85 m);224 lbs (102 kg);March 12, 1955 (1955-03-12) (age 65);Greenville, South Carolina;1979;https://static.wikia.nocookie.net/prowrestling/images/a/ae/Terry_Taylor.png/revision/latest/scale-to-width-down/350?cb=20180522123521;
The Rascalz;;;;;;https://static.wikia.nocookie.net/prowrestling/images/9/9e/TheRascalz.jpg/revision/latest/scale-to-width-down/350?cb=20181126072208;
The Undisputed Era;;;;;;https://static.wikia.nocookie.net/prowrestling/images/3/34/The_Undisputed_Era.5.jpg/revision/latest/scale-to-width-down/350?cb=20180408181505;
